key,title,authors,year,journal,abstract,doi
10.1109/TNET.2020.2977198,Economic Viability of a Virtual ISP,"Liu, Shengxin; Joe-Wong, Carlee; Chen, Jiasi; Brinton, Christopher G.; Tan, Chee Wei; Zheng, Liang",2020,IEEE/ACM Trans. Netw.,"Growing mobile data usage has led to end users paying substantial data costs, while Internet service providers (ISPs) struggle to upgrade their networks to keep up with demand and maintain high quality-of-service (QoS). This problem is particularly severe for smaller ISPs with less capital. Instead of simply upgrading their network infrastructure, ISPs can pool their networks to provide a good QoS and attract more users. Such a &lt;italic&gt;vISP&lt;/italic&gt; (virtual ISP), for example, Google’s Project Fi, allows users to access any of its partner ISPs’ networks. We provide the first systematic analysis of a vISP’s economic impact, showing that the vISP provides a viable solution for smaller ISPs attempting to attract more users, but may not maintain a positive profit if users’ data demands evolve. To do so, we consider users’ decisions of whether to defect from their current ISP to the vISP, as well as existing ISPs’ decisions on whether to partner with the vISP. We derive the vISP’s dependence on user behavior and partner ISPs: users with very light or very heavy usage are the most likely to defect, while ISPs with heavy-usage customers can benefit from declining to partner with the vISP. Our analytical results are verified with extensive numerical simulations.",10.1109/TNET.2020.2977198
10.1109/TNET.2022.3192167,MiFi: Bounded Update to Optimize Network Performance in Software-Defined Data Centers,"Majidi, Akbar; Gao, Xiaofeng; Zhu, Shunjia; Jahanbakhsh, Nazila; Zheng, Jiaqi; Chen, Guihai",2022,IEEE/ACM Trans. Netw.,"A controller needs to solve the multi-commodity flow problem and globally update the network under tight time constraints to maintain optimal network configurations. This centralized optimization in data centers involves many variables and constraints, which has a slow convergence speed and little scalability. In this paper, we propose MiFi, which aims to Minimize Flow cost or intuitively average transmission delay (delay or latency of flows), under reconfiguration budget constraints in data centers. Thus, we formulate this optimization problem as a constrained Markov Decision Process and propose a set of algorithms to solve it in a scalable manner. We first develop a propagation algorithm to identify the flows mostly affected in terms of latency and configuration in the next update. Then, we set a limitation range (the subset of switches requiring network updates) for updating them to improve adaptability and scalability by updating a less number of flows each time to achieve fast operations. Further, based on the Drift-Plus-Penalty method in Lyapunov theory, we propose a heuristic policy without prior information of flow demand and a renewal policy with a performance guarantee to minimize the additive optimality gap. To the best of our knowledge, MiFi is the first paper that studies the range and frequency of flow reconfigurations, which has both theoretical and practical significance in the area. Emulations and numerical simulations, which are much better than the estimated theoretical bound, show that MiFi outperforms the state of the art algorithms in terms of latency by over 45% while making improvements in adaptability and scalability.",10.1109/TNET.2022.3192167
10.1109/TNET.2022.3201545,Outlier-Concerned Data Completion Exploiting Intra- and Inter-Data Correlations in Sparse CrowdSensing,"Wang, En; Zhang, Mijia; Liu, Wenbin; Xiong, Haoyi; Yang, Bo; Yang, Yongjian; Wu, Jie",2022,IEEE/ACM Trans. Netw.,"Mobile CrowdSensing (MCS) is a popular data collection paradigm which usually faces the problem of sparse sensed data because of the limited sensing cost. In order to address the situation of sparse data, sparse MCS recruits users to sense important areas and infers completed data by data completion, which is crucial in sparse MCS for urban sensing applications (e.g. enhancing data expression, improving urban analysis, guiding city planning, etc.) To achieve accurate completion results, previous methods usually utilize the universal similarity and conventional tendency while incorporating only a single dataset to infer the full map. However, in real-world scenarios, there may exist many kinds of data (inter-data), that could help to complement each other. Moreover, for each kind of data (intra-data), there usually exist a few but important outliers caused by the special events (e.g., parking peak, traffic congestion, or festival parade), which may behave in a different way as the statistical patterns. These outliers cannot be ignored, while it is difficult to detect and recover them in data completion because of the following challenges: 1) the infrequency and unpredictability of outliers’ occurrence, 2) the large deviations against the means compared to normal values, and 3) the complex spatiotemporal relations among inter-data. To this end, focusing on spatiotemporal data with both intra- and inter-data correlations, we propose a matrix completion method that takes outliers’ effects into consideration and exploits both intra- and inter-data correlations for enhancing performance. Specifically, we first conduct the Deep Matrix Factorization (DMF) with multiple auxiliary Neural Networks, which named Stacked Deep Matrix Factorization (SDMF). Note that the loss function of SDMF is no longer the previous MSE loss function, but replaced with an Outlier Value Loss (OVL) function to effectively detect and recover the outliers. Moreover, a spatiotemporal outlier value memory network is added for further enhancing the outlier inference. Finally, we take extensive qualitative and quantitative experiments on two popular datasets each with two types of sensing data, and the experimental results indicate the advantages of our method that outperforms the state-of-the-art methods.",10.1109/TNET.2022.3201545
10.1109/TNET.2023.3265127,Online Learning for Failure-Aware Edge Backup of Service Function Chains With the Minimum Latency,"Wang, Chen; Hu, Qin; Yu, Dongxiao; Cheng, Xiuzhen",2023,IEEE/ACM Trans. Netw.,"Virtual network functions (VNFs) have been widely deployed in mobile edge computing (MEC) to flexibly and efficiently serve end users running resource-intensive applications, which can be further serialized to form service function chains (SFCs), providing customized networking services. To ensure the availability of SFCs, it turns out to be effective to place redundant SFC backups at the edge for quickly recovering from any failures. The existing research largely overlooks the influences of SFC popularity, backup completeness, and failure rate on the optimal deployment of SFC backups on edge servers. In this paper, we comprehensively consider from the perspectives of both the end users and edge system to backup SFCs for providing popular services with the lowest latency. To overcome the challenges resulted from unknown SFC popularity and failure rate, as well as the known system parameter constraints, we take advantage of the online bandit learning technique to cope with the uncertainty issue. Combining the Prim -inspired method with the greedy strategy, we propose a Real-Time Selection and Deployment (RTSD) algorithm. Extensive simulation experiments are conducted to demonstrate the superiority of our proposed algorithms.",10.1109/TNET.2023.3265127
10.1109/TNET.2023.3265276,Threshold-Based Routing-Topology Co-Design for Optical Data Center,"Cao, Peirui; Zhao, Shizhen; Zhang, Dai; Liu, Zhuotao; Xu, Mingwei; Teh, Min Yee; Liu, Yunzhuo; Wang, Xinbing; Zhou, Chenghu",2023,IEEE/ACM Trans. Netw.,"Despite the bandwidth scaling limit of electrical switching and the high cost of building Clos data center networks (DCNs), the adoption of optical DCNs is still limited. There are two reasons. First, existing optical DCN designs usually face high deployment complexity. Second, these designs are not full-optical and the performance benefit over the non-blocking Clos DCN is not clear. After exploring the design tradeoffs of the existing optical DCN designs, we propose TROD (Threshold Routing based Optical Datacenter), a low-complexity optical DCN with superior performance than other optical DCNs. There are two novel designs in TROD that contribute to its success. First, TROD performs robust topology optimization based on the recurring traffic patterns and thus does not need to react to every traffic change, which lowers deployment and management complexity. Second, TROD introduces tVLB (threshold-based Valiant Load Balance), which can avoid network congestion as much as possible even under unexpected traffic bursts. We conduct simulation based on both Facebook’s real DCN traces and our synthesized highly bursty DCN traces. TROD reduces flow completion time (FCT) by about 1.15-&lt;inline-formula&gt; &lt;tex-math notation=""LaTeX""&gt;$2.16times $ &lt;/tex-math&gt;&lt;/inline-formula&gt; compared to Google’s Jupiter DCN, at least &lt;inline-formula&gt; &lt;tex-math notation=""LaTeX""&gt;$2times $ &lt;/tex-math&gt;&lt;/inline-formula&gt; compared to other optical DCN designs, and about 2.4-&lt;inline-formula&gt; &lt;tex-math notation=""LaTeX""&gt;$3.2times $ &lt;/tex-math&gt;&lt;/inline-formula&gt; compared to expander graph DCN. Compared with the non-blocking Clos, TROD reduces the hop count of the majority packets by one, and could even outperform the non-blocking Clos with proper bandwidth over-provision at the optical layer. Note that TROD can be built with commercially available hardware and does not require host modifications.",10.1109/TNET.2023.3265276
10.1109/TNET.2023.3323522,Spatiotemporal Fracture Data Inference in Sparse Mobile Crowdsensing: A Graph- and Attention-Based Approach,"Guo, Xianwei; Huang, Fangwan; Yang, Dingqi; Tu, Chunyu; Yu, Zhiyong; Guo, Wenzhong",2023,IEEE/ACM Trans. Netw.,"Mobile Crowdsensing (MCS) is a sensing paradigm that enables large-scale smart city applications, such as environmental sensing and traffic monitoring. However, traditional MCS often suffers from performance degradation due to the limited spatiotemporal coverage of collected data. In this context, Sparse MCS has been proposed, which utilizes data inference algorithms to recover full data from sparse data collected by users. However, existing Sparse MCS approaches often overlook spatiotemporal fractures, where no data is observed either for a sensing subarea across all sensing time slots (temporal fracture), or for a sensing time slot in all sensing subarea (spatial fracture). Such spatiotemporal fractures pose great challenges to the data inference algorithms, as it is difficult to capture the complex spatiotemporal correlations of the sensing data from very limited observations. To address this issue, we propose a Graph- and Attention-based Matrix Completion (GAMC) method for the spatiotemporal fracture data inference problem in Sparse MCS. Specifically, we first pre-fill the general missing values using the classical Matrix Factorization (MF) technique. Then, we propose a neural network architecture based on Graph Attention Networks (GAT) and Transformer to capture complex spatiotemporal dependencies in the sensing data. Finally, we recover the complete data with a projection layer. We conduct extensive experiments on three real-world urban sensing datasets. The experimental results show the effectiveness of the proposed method.",10.1109/TNET.2023.3323522
10.1109/TNET.2024.3361324,Hermes: Low-Overhead Inter-Switch Coordination in Network-Wide Data Plane Program Deployment,"Chen, Xiang; Liu, Hongyan; Xiao, Qingjiang; Huang, Qun; Zhang, Dong; Zhou, Haifeng; Zhou, Boyang; Wu, Chunming; Liu, Xuan; Yang, Qiang",2024,IEEE/ACM Trans. Netw.,"Network administrators usually realize network functions in data plane programs. They employ the network-wide program deployment that decomposes input programs into match-action tables (MATs) while deploying each MAT on a specific switch. Since MATs may be deployed on different switches, existing solutions propose the inter-switch coordination that uses the per-packet header space to deliver crucial packet processing information among switches. However, such coordination incurs non-trivial per-packet byte overhead, leading to end-to-end performance degradation. We propose Hermes, a framework that aims to minimize the per-packet byte overhead. The key idea is to formulate network-wide program deployment as a mixed-integer programming (MIP) problem with the objective of minimizing the per-packet byte overhead. Also, Hermes offers a greedy-based heuristic that solves the problem in a near-optimal and timely manner. We have implemented Hermes on Tofino switches. Compared to existing frameworks, Hermes decreases the per-packet byte overhead by 156bytes while preserving end-to-end performance in terms of flow completion time and goodput.",10.1109/TNET.2024.3361324
10.1109/TNET.2024.3365815,Encrypted Data Caching and Learning Framework for Robust Federated Learning-Based Mobile Edge Computing,"Nguyen, Chi-Hieu; Saputra, Yuris Mulya; Hoang, Dinh Thai; Nguyen, Diep N.; Nguyen, Van-Dinh; Xiao, Yong; Dutkiewicz, Eryk",2024,IEEE/ACM Trans. Netw.,"Federated Learning (FL) plays a pivotal role in enabling artificial intelligence (AI)-based mobile applications in mobile edge computing (MEC). However, due to the resource heterogeneity among participating mobile users (MUs), delayed updates from slow MUs may deteriorate the learning speed of the MEC-based FL system, commonly referred to as the straggling problem. To tackle the problem, this work proposes a novel privacy-preserving FL framework that utilizes homomorphic encryption (HE) based solutions to enable MUs, particularly resource-constrained MUs, to securely offload part of their training tasks to the cloud server (CS) and mobile edge nodes (MENs). Our framework first develops an efficient method for packing batches of training data into HE ciphertexts to reduce the complexity of HE-encrypted training at the MENs/CS. On that basis, the mobile service provider (MSP) can incentivize straggling MUs to encrypt part of their local datasets that are uploaded to certain MENs or the CS for caching and remote training. However, caching a large amount of encrypted data at the MENs and CS for FL may not only overburden those nodes but also incur a prohibitive cost of remote training, which ultimately reduces the MSP’s overall profit. To optimize the portion of MUs’ data to be encrypted, cached, and trained at the MENs/CS, we formulate an MSP’s profit maximization problem, considering all MUs’ and MENs’ resource capabilities and data handling costs (including encryption, caching, and training) as well as the MSP’s incentive budget. We then show that the problem is convex and can be efficiently solved using an interior point method. Extensive simulations on a real-world human activity recognition dataset show that our proposed framework can achieve much higher model accuracy (improving up to 24.29%) and faster convergence rate (by 2.86 times) than those of the conventional FedAvg approach when the straggling probability varies between 20% and 80%. Moreover, the proposed framework can improve the MSP’s profit up to 2.84 times compared with other baseline FL approaches without MEN-assisted training.",10.1109/TNET.2024.3365815
10.1109/TNET.2024.3382546,Fast Outbreak Sense and Effective Source Inference via Minimum Observer Set,"Liu, Yang; Wang, Xi; Wang, Xiaoqi; Wang, Zhen",2024,IEEE/ACM Trans. Netw.,"This paper addresses the Fast outbreak Sensing and Effective diffusion source Inferring (FSEI) problem, which assumes that the state of nodes in a particularly chosen observer set can be monitored if necessary and aims to optimize the observer set such that outbreaks can be timely detected and their sources can be effectively targeted. We propose three approaches to tackle the FSEI problem: Greedy Strategy (GS), Network-Topology-based Method (NTM), and Hybrid Method (HM). Among them, GS relies on collected outbreaks and constructs the observer set by iteratively choosing and removing the node that minimizes the product of sensing time and source targeting cost of the remaining network. For NTM, we also consider the remaining network and introduce a novel strategy to optimize its topology via simultaneously minimizing the adjoining component size and ratio of the first and second moments. HM is a combination of GS and NTM, considering the submodular property of GS on the minimization of the sensing time and well approximation of the component size on the optimization of the source targeting. We perform extensive experiments on over 200 empirical networks, using various diffusion models, to validate the proposed methods. The results demonstrate that our approaches consistently outperform the state-of-the-art. We believe that the model and methodology presented in this paper can be readily applied to real-world scenarios such as combating misinformation and controlling diffusions of information or disease.",10.1109/TNET.2024.3382546
10.1109/TNET.2024.3403671,Enhancing Load Balancing With In-Network Recirculation to Prevent Packet Reordering in Lossless Data Centers,"Hu, Jinbin; He, Yi; Luo, Wangqing; Huang, Jiawei; Wang, Jin",2024,IEEE/ACM Trans. Netw.,"Many existing load balancing mechanisms work effectively in lossy datacenter networks (DCNs), but they suffer from serious packet reordering in lossless Ethernet DCNs deployed with the hop-by-hop Priority-based Flow Control (PFC). The key reason is that the prior solutions are not able to perceive PFC triggering correctly and in a timely manner when making load balancing decisions. Once the forwarding path pauses transmission due to PFC triggering, the packets allocated on it are blocked, inevitably leading to out-of-order packets and retransmission. In this paper, we present an Reordering-robust Load Balancing (RLB) scheme with PFC prediction in lossless DCNs. At its heart, RLB leverages the derivative of ingress queue length to predict PFC triggering and proactively notifies the upstream switches to choose an appropriate rerouting path or perform packet recirculation to avoid reordering. Furthermore, under switch failure scenarios, RLB adjusts the recirculation threshold adaptively to mitigate the risk of packets over-recirculation. We have implemented RLB in the hardware programmable switch. As a building block for existing load balancing mechanisms, we have integrated RLB into Presto, LetFlow, Hermes and DRILL. The evaluation results show that the RLB-enhanced solutions deliver significant performance by avoiding packet reordering. For example, it reduces the &lt;inline-formula&gt; &lt;tex-math notation=""LaTeX""&gt;$99^{th}$ &lt;/tex-math&gt;&lt;/inline-formula&gt; percentile flow completion time (FCT) by up to 72%, 67%, 58% and 54% over DRILL, Presto, LetFlow and Hermes, respectively.",10.1109/TNET.2024.3403671
10.1109/TNET.2024.3404011,"Per-Packet Traffic Measurement in Storage, Computation and Bandwidth Limited Data Plane","Cong, Yinchuan; Xie, Kun; Wen, Jigang; Zhang, Jiwei; Yin, Yansong; Zhang, Qingyi; Xie, Gaogang; Liang, Wei",2024,IEEE/ACM Trans. Netw.,"Packet level measurement in the data plane provides a microscopic view of the network’s state. Although advances in programmable switches and routers make it possible to measure the Sequence of Packet Lengths and Arrival Times (SPLT) in the data plane, collecting this information remains challenging due to limited storage, processing resources, and bandwidth. To address this issue, we propose MES, which Measures and Encodes Simultaneously the packet length and timestamp when each packet passes through the Network Processor (NP) in the switch/router. We design the packet length compression and timestamp compression algorithms to be lightweight and implement the designed algorithms using simple operations supported by the network processor, while taking into account the computation constraints of the NP. Through extensive experiments on five packet traces, we demonstrate that our MES achieves high precision SPLT measurements (up to 99.82% cosine similarity) while reducing storage and bandwidth overhead by up to 87%. Simulations conducted on the BMV2 P4 software switch demonstrate that our designed SPLT measurement mechanism imposes little impact on network throughput and delay.",10.1109/TNET.2024.3404011
10.1109/TNET.2024.3422264,How Valuable is Your Data? Optimizing Client Recruitment in Federated Learning,"Ruan, Yichen; Zhang, Xiaoxi; Joe-Wong, Carlee",2024,IEEE/ACM Trans. Netw.,"Federated learning allows distributed clients to train a shared machine learning model while preserving user privacy. In this framework, user devices (i.e., clients) perform local iterations of the learning algorithm on their data. These updates are periodically aggregated to form a shared model. Thus, a client represents the bundle of the user data, the device, and the user’s willingness to participate: since participating in federated learning requires clients to expend resources and reveal some information about their data, users may require some form of compensation to contribute to the training process. Recruiting more users generally results in higher accuracy, but slower completion time and higher cost. We propose the first work to theoretically analyze the resulting performance tradeoffs in deciding which clients to recruit for the federated learning algorithm. Our framework accounts for both accuracy (training and testing) and efficiency (completion time and cost) metrics. We provide solutions to this NP-Hard optimization problem and verify the value of client recruitment in experiments on synthetic and real-world data. The results of this work can serve as a guideline for the real-world deployment of federated learning and an initial investigation of the client recruitment problem.",10.1109/TNET.2024.3422264
10.1145/2580950,A Classification and Survey of Analysis Strategies for Software Product Lines,"Th\""{u}m, Thomas; Apel, Sven; K\""{a}stner, Christian; Schaefer, Ina; Saake, Gunter",2014,ACM Comput. Surv.,"Software-product-line engineering has gained considerable momentum in recent years, both in industry and in academia. A software product line is a family of software products that share a common set of features. Software product lines challenge traditional analysis techniques, such as type checking, model checking, and theorem proving, in their quest of ensuring correctness and reliability of software. Simply creating and analyzing all products of a product line is usually not feasible, due to the potentially exponential number of valid feature combinations. Recently, researchers began to develop analysis techniques that take the distinguishing properties of software product lines into account, for example, by checking feature-related code in isolation or by exploiting variability information during analysis. The emerging field of product-line analyses is both broad and diverse, so it is difficult for researchers and practitioners to understand their similarities and differences. We propose a classification of product-line analyses to enable systematic research and application. Based on our insights with classifying and comparing a corpus of 123 research articles, we develop a research agenda to guide future research on product-line analyses.",10.1145/2580950
